workclass,hours-per-week,sex,age,race,occupation,capital-loss,education,capital-gain,marital-status,relationship,income
Private,40,1,25,1,Handlers-cleaners,0,HS-grad,0,Never-married,Not-in-family,0
Private,40,1,49,1,Other-service,0,Some-college,0,Married-civ-spouse,Husband,0
Private,40,0,28,1,Prof-specialty,1726,Assoc-voc,0,Divorced,Unmarried,0
Private,45,0,26,1,Prof-specialty,0,Bachelors,0,Never-married,Not-in-family,0
Private,52,1,29,1,Prof-specialty,0,Bachelors,0,Divorced,Not-in-family,0
Private,75,1,49,1,Transport-moving,0,11th,0,Married-civ-spouse,Husband,0
Private,52,1,46,1,Other-service,0,7th-8th,0,Never-married,Own-child,0
Private,40,1,24,1,Craft-repair,0,HS-grad,0,Married-civ-spouse,Husband,0
State-gov,35,1,67,1,Transport-moving,0,7th-8th,0,Married-civ-spouse,Husband,0
Private,40,0,60,1,Other-service,0,HS-grad,0,Divorced,Not-in-family,0
Private,45,0,31,1,Prof-specialty,0,Prof-school,0,Divorced,Not-in-family,1
Private,50,1,46,1,Machine-op-inspct,0,HS-grad,0,Married-civ-spouse,Husband,0
Private,40,0,52,1,Adm-clerical,0,Bachelors,0,Divorced,Not-in-family,0
Private,40,1,60,1,Prof-specialty,0,HS-grad,5013,Married-civ-spouse,Husband,0
Private,40,0,22,0,Sales,0,HS-grad,0,Never-married,Own-child,0
Local-gov,40,0,46,1,Prof-specialty,0,Bachelors,0,Divorced,Unmarried,0
Private,20,1,17,1,Handlers-cleaners,0,12th,0,Never-married,Own-child,0
Self-emp-not-inc,32,1,63,1,Craft-repair,0,HS-grad,0,Married-civ-spouse,Husband,0
Self-emp-inc,30,0,61,1,Sales,0,Bachelors,0,Separated,Not-in-family,0
Private,55,1,38,1,Exec-managerial,0,Bachelors,0,Married-civ-spouse,Husband,1
Federal-gov,56,1,45,1,Prof-specialty,0,Some-college,0,Married-civ-spouse,Husband,1
Private,45,1,39,1,Farming-fishing,0,HS-grad,0,Married-civ-spouse,Husband,0
Private,60,1,25,1,Transport-moving,0,HS-grad,0,Married-civ-spouse,Husband,0
Private,40,1,62,0,Farming-fishing,0,5th-6th,0,Married-civ-spouse,Husband,0
Self-emp-not-inc,99,1,57,1,Farming-fishing,0,11th,0,Married-civ-spouse,Husband,0
Private,40,1,36,1,Craft-repair,0,HS-grad,0,Never-married,Not-in-family,0
Private,20,1,33,1,Tech-support,0,Some-college,0,Married-civ-spouse,Husband,0
Private,40,1,43,1,Prof-specialty,0,Some-college,0,Divorced,Not-in-family,0
Local-gov,50,1,35,1,Prof-specialty,0,Bachelors,0,Married-civ-spouse,Husband,0
Private,40,0,50,0,Other-service,0,11th,0,Divorced,Not-in-family,0
Private,20,0,20,0,Sales,0,HS-grad,0,Never-married,Own-child,0
Private,60,1,31,1,Exec-managerial,0,Some-college,0,Never-married,Unmarried,0
Private,25,1,23,0,Other-service,0,Some-college,0,Never-married,Not-in-family,0
Private,25,1,19,0,Sales,0,HS-grad,0,Never-married,Own-child,0
Private,35,1,34,1,Machine-op-inspct,0,Some-college,0,Married-civ-spouse,Husband,0
Private,40,1,25,1,Other-service,0,Bachelors,0,Never-married,Own-child,0
Self-emp-not-inc,60,1,44,0,Prof-specialty,0,Prof-school,0,Married-civ-spouse,Husband,1
Private,30,0,21,1,Other-service,0,Some-college,0,Married-civ-spouse,Other-relative,0
Private,40,0,35,1,Adm-clerical,0,HS-grad,0,Divorced,Unmarried,0
Self-emp-not-inc,36,0,56,1,Sales,0,Masters,0,Separated,Unmarried,0
Self-emp-not-inc,35,1,57,1,Sales,0,1st-4th,0,Married-civ-spouse,Husband,0
Private,40,1,53,1,Exec-managerial,0,Bachelors,0,Never-married,Own-child,0
Private,40,1,31,1,Tech-support,0,Bachelors,0,Never-married,Not-in-family,0
Private,30,0,44,1,Handlers-cleaners,0,HS-grad,3137,Married-civ-spouse,Wife,0
Private,40,1,30,1,Handlers-cleaners,0,Bachelors,0,Married-civ-spouse,Husband,0
Private,40,1,23,0,Transport-moving,0,HS-grad,0,Never-married,Own-child,0
Private,34,0,61,0,Adm-clerical,0,HS-grad,0,Never-married,Not-in-family,0
Private,40,1,47,1,Handlers-cleaners,0,HS-grad,0,Married-civ-spouse,Husband,0
State-gov,40,0,28,1,Prof-specialty,1669,Bachelors,0,Never-married,Not-in-family,0
Private,40,1,38,0,Handlers-cleaners,0,Some-college,0,Married-civ-spouse,Husband,0
Self-emp-not-inc,40,1,77,1,Farming-fishing,0,7th-8th,0,Married-civ-spouse,Husband,0
Private,38,1,31,1,Adm-clerical,0,Assoc-acdm,2202,Never-married,Not-in-family,0
Private,30,0,37,1,Other-service,0,Assoc-acdm,0,Never-married,Not-in-family,0
Local-gov,50,1,30,1,Prof-specialty,0,Masters,0,Never-married,Not-in-family,0
Private,50,0,27,0,Adm-clerical,0,Bachelors,0,Never-married,Own-child,0
Private,30,1,23,1,Other-service,0,Some-college,0,Never-married,Own-child,0
Private,30,1,22,1,Craft-repair,0,11th,0,Never-married,Own-child,0
Private,38,0,54,1,Adm-clerical,0,HS-grad,0,Separated,Unmarried,0
Private,32,1,33,1,Exec-managerial,0,HS-grad,0,Never-married,Not-in-family,0
Private,40,1,27,1,Sales,0,Some-college,0,Married-civ-spouse,Husband,1
Self-emp-inc,40,1,50,1,Exec-managerial,0,HS-grad,7298,Married-civ-spouse,Husband,1
Local-gov,40,1,36,1,Protective-serv,0,Some-college,0,Married-civ-spouse,Husband,0
Private,44,1,36,1,Machine-op-inspct,0,Some-college,0,Married-civ-spouse,Husband,0
Private,40,1,40,1,Sales,0,Some-college,0,Never-married,Not-in-family,0
Private,45,0,39,1,Adm-clerical,0,Some-college,13550,Never-married,Not-in-family,1
Private,40,1,34,1,Craft-repair,0,HS-grad,0,Divorced,Not-in-family,0
State-gov,20,0,22,1,Prof-specialty,0,Bachelors,0,Never-married,Own-child,0
Private,40,1,25,1,Handlers-cleaners,0,Bachelors,0,Never-married,Own-child,0
Local-gov,45,0,42,1,Exec-managerial,0,Assoc-acdm,0,Married-civ-spouse,Wife,1
Private,50,1,41,0,Adm-clerical,0,Bachelors,0,Never-married,Not-in-family,0
Self-emp-inc,50,1,64,1,Transport-moving,0,HS-grad,0,Married-civ-spouse,Husband,0
State-gov,14,0,21,1,Other-service,0,Some-college,0,Never-married,Own-child,0
Private,60,1,50,1,Transport-moving,0,10th,0,Married-civ-spouse,Husband,0
Private,40,0,39,1,Adm-clerical,0,HS-grad,0,Divorced,Own-child,0
Private,38,0,20,1,Adm-clerical,0,Some-college,0,Never-married,Own-child,0
Private,40,1,23,1,Adm-clerical,0,Some-college,0,Never-married,Own-child,0
Self-emp-inc,40,1,38,1,Exec-managerial,0,HS-grad,0,Married-civ-spouse,Husband,1
Private,40,1,49,1,Sales,0,Masters,0,Married-civ-spouse,Husband,1
Private,60,1,25,1,Farming-fishing,0,Some-college,0,Never-married,Own-child,0
Private,40,0,65,1,Adm-clerical,0,Bachelors,0,Divorced,Not-in-family,0
Private,50,1,33,1,Machine-op-inspct,0,9th,0,Never-married,Not-in-family,0
Private,40,1,31,1,Craft-repair,0,HS-grad,0,Married-civ-spouse,Husband,0
Self-emp-not-inc,50,1,38,1,Farming-fishing,0,HS-grad,0,Never-married,Not-in-family,0
Private,40,1,58,0,Machine-op-inspct,0,9th,3781,Married-civ-spouse,Husband,0
Private,40,1,36,1,Machine-op-inspct,0,11th,0,Married-civ-spouse,Husband,0
Federal-gov,40,1,34,1,Prof-specialty,0,Prof-school,0,Married-civ-spouse,Husband,1
Local-gov,40,1,34,0,Protective-serv,0,Assoc-voc,0,Divorced,Own-child,0
Private,40,1,36,1,Machine-op-inspct,0,Assoc-voc,3103,Married-civ-spouse,Husband,1
Private,40,1,55,1,Transport-moving,0,HS-grad,7688,Married-civ-spouse,Husband,1
Private,40,1,41,1,Prof-specialty,0,Some-college,0,Married-civ-spouse,Husband,0
Private,40,0,20,1,Machine-op-inspct,0,HS-grad,0,Never-married,Own-child,0
Local-gov,40,0,47,1,Adm-clerical,0,Assoc-voc,0,Divorced,Not-in-family,0
Private,24,1,26,1,Other-service,0,HS-grad,0,Never-married,Not-in-family,0
State-gov,18,0,19,1,Other-service,0,HS-grad,0,Never-married,Not-in-family,0
State-gov,40,1,25,1,Protective-serv,0,Bachelors,0,Never-married,Own-child,0
Private,40,1,46,1,Adm-clerical,0,HS-grad,0,Divorced,Not-in-family,0
Private,55,1,31,1,Sales,0,Bachelors,0,Married-civ-spouse,Husband,1
Private,40,1,22,1,Machine-op-inspct,0,HS-grad,0,Never-married,Own-child,0
Self-emp-not-inc,10,1,68,1,Exec-managerial,0,HS-grad,0,Married-civ-spouse,Husband,0
Self-emp-not-inc,30,1,49,1,Tech-support,0,HS-grad,0,Married-civ-spouse,Husband,1
State-gov,40,0,51,1,Prof-specialty,0,Some-college,0,Divorced,Not-in-family,0
State-gov,35,0,57,1,Other-service,0,HS-grad,0,Separated,Not-in-family,0
Private,40,1,28,1,Adm-clerical,0,HS-grad,0,Married-civ-spouse,Husband,0
Private,60,1,45,1,Farming-fishing,0,HS-grad,0,Never-married,Not-in-family,0
Private,40,0,19,1,Other-service,0,11th,0,Never-married,Not-in-family,0
Private,50,1,61,1,Exec-managerial,0,Bachelors,0,Married-civ-spouse,Husband,1
Private,75,0,26,0,Sales,1977,Bachelors,0,Married-civ-spouse,Not-in-family,1
Private,16,0,28,1,Adm-clerical,0,Bachelors,0,Never-married,Own-child,0
Private,42,1,38,1,Prof-specialty,0,Assoc-voc,0,Married-civ-spouse,Husband,0
Private,40,1,37,1,Exec-managerial,0,Prof-school,0,Married-civ-spouse,Husband,1
Private,30,1,19,1,Sales,0,Some-college,0,Never-married,Own-child,0
Private,20,0,21,0,Adm-clerical,0,Some-college,0,Never-married,Not-in-family,0
Private,40,1,23,1,Exec-managerial,0,Bachelors,0,Never-married,Not-in-family,0
Private,40,0,61,1,Other-service,0,HS-grad,0,Widowed,Unmarried,0
Private,42,1,43,1,Protective-serv,1902,Assoc-voc,0,Married-civ-spouse,Husband,1
Private,40,0,29,1,Adm-clerical,0,HS-grad,0,Divorced,Unmarried,0
Private,40,0,23,1,Craft-repair,0,HS-grad,0,Never-married,Own-child,0
Private,35,0,49,1,Adm-clerical,0,HS-grad,0,Never-married,Unmarried,0
Private,20,0,24,0,Adm-clerical,0,Assoc-voc,0,Never-married,Own-child,0
Private,40,0,40,0,Adm-clerical,0,Bachelors,2977,Never-married,Unmarried,0
Federal-gov,42,1,38,1,Exec-managerial,0,HS-grad,0,Married-civ-spouse,Husband,1
Private,30,0,37,1,Machine-op-inspct,0,Assoc-voc,0,Divorced,Not-in-family,0
Private,45,0,50,1,Other-service,0,HS-grad,0,Separated,Unmarried,0
Private,40,1,21,0,Handlers-cleaners,0,HS-grad,2176,Never-married,Other-relative,0
Private,48,0,39,0,Other-service,0,12th,0,Never-married,Unmarried,0
Federal-gov,40,1,24,1,Other-service,0,HS-grad,0,Never-married,Own-child,0
Private,15,0,20,1,Other-service,0,Some-college,0,Never-married,Own-child,0
Private,80,1,26,1,Handlers-cleaners,0,Assoc-voc,0,Married-civ-spouse,Husband,0
Private,40,0,52,1,Adm-clerical,0,Some-college,0,Divorced,Unmarried,0
Private,55,0,50,1,Exec-managerial,0,HS-grad,0,Married-spouse-absent,Not-in-family,0
State-gov,40,1,23,1,Exec-managerial,0,12th,0,Never-married,Not-in-family,0
Private,40,1,47,1,Transport-moving,2051,7th-8th,0,Married-civ-spouse,Husband,0
Private,40,1,31,1,Adm-clerical,0,Bachelors,8614,Never-married,Not-in-family,1
Self-emp-not-inc,15,0,48,1,Other-service,0,Assoc-voc,0,Married-civ-spouse,Wife,0
Local-gov,45,1,47,1,Craft-repair,0,Some-college,0,Married-spouse-absent,Other-relative,0
Private,40,1,25,1,Exec-managerial,0,Bachelors,0,Never-married,Not-in-family,0
Private,40,0,36,1,Priv-house-serv,0,5th-6th,0,Married-civ-spouse,Wife,0
Private,40,1,25,1,Handlers-cleaners,0,Some-college,0,Never-married,Not-in-family,0
Private,40,1,43,1,Prof-specialty,0,Bachelors,0,Married-civ-spouse,Husband,1
Private,30,1,19,1,Transport-moving,0,HS-grad,0,Never-married,Own-child,0
Private,40,1,50,1,Craft-repair,0,10th,0,Married-civ-spouse,Husband,1
Private,40,0,32,0,Adm-clerical,0,HS-grad,0,Never-married,Other-relative,0
Private,40,1,52,1,Exec-managerial,0,Assoc-voc,0,Married-civ-spouse,Husband,0
Private,40,1,38,1,Machine-op-inspct,0,HS-grad,0,Married-civ-spouse,Husband,0
Private,37,0,37,1,Adm-clerical,0,HS-grad,0,Never-married,Own-child,0
Private,10,0,19,1,Adm-clerical,0,Some-college,0,Never-married,Own-child,0
Private,28,1,71,1,Machine-op-inspct,0,Assoc-voc,0,Married-civ-spouse,Husband,0
Private,32,1,27,1,Handlers-cleaners,0,HS-grad,0,Never-married,Own-child,0
State-gov,46,1,25,1,Prof-specialty,0,Bachelors,0,Never-married,Own-child,0
Private,89,1,42,1,Craft-repair,0,Some-college,0,Married-civ-spouse,Husband,1
Private,40,0,49,1,Other-service,0,HS-grad,0,Never-married,Own-child,0
Private,40,1,48,1,Transport-moving,0,Some-college,2407,Married-civ-spouse,Husband,0
Private,40,0,22,0,Adm-clerical,0,Some-college,0,Never-married,Own-child,0
Private,35,0,44,0,Prof-specialty,0,Bachelors,0,Divorced,Unmarried,0
Private,35,1,35,1,Craft-repair,0,HS-grad,0,Never-married,Unmarried,0
Private,20,0,43,1,Sales,0,Bachelors,0,Married-spouse-absent,Unmarried,0
Private,20,1,56,1,Transport-moving,0,7th-8th,0,Widowed,Not-in-family,0
Private,50,1,41,1,Prof-specialty,0,Doctorate,0,Married-civ-spouse,Husband,1
Private,40,0,46,0,Handlers-cleaners,0,Some-college,0,Never-married,Unmarried,0
Private,40,1,35,1,Craft-repair,0,HS-grad,0,Married-civ-spouse,Husband,0
State-gov,40,1,55,1,Adm-clerical,0,Bachelors,10520,Divorced,Not-in-family,1
Private,40,1,34,1,Machine-op-inspct,0,Some-college,0,Married-civ-spouse,Husband,0
Private,40,1,50,1,Exec-managerial,0,HS-grad,0,Married-civ-spouse,Husband,0
Private,40,1,54,1,Sales,0,Bachelors,0,Married-civ-spouse,Husband,1
Local-gov,40,1,44,1,Prof-specialty,0,Masters,0,Married-civ-spouse,Husband,1
Private,40,1,29,1,Exec-managerial,0,Masters,0,Never-married,Not-in-family,0
Self-emp-inc,45,1,45,1,Exec-managerial,0,Bachelors,0,Married-civ-spouse,Husband,1
Private,40,1,37,1,Handlers-cleaners,0,HS-grad,0,Married-civ-spouse,Husband,0
Private,30,0,36,1,Handlers-cleaners,0,HS-grad,0,Widowed,Unmarried,0
Private,40,1,45,1,Prof-specialty,0,Doctorate,0,Married-civ-spouse,Husband,1
Private,24,0,22,0,Other-service,0,HS-grad,0,Never-married,Own-child,0
Self-emp-not-inc,35,1,49,1,Exec-managerial,0,HS-grad,0,Married-civ-spouse,Husband,0
Self-emp-not-inc,40,1,53,1,Exec-managerial,1977,Masters,0,Married-civ-spouse,Husband,1
Private,40,0,42,1,Adm-clerical,0,Some-college,0,Never-married,Own-child,0
Self-emp-not-inc,30,1,60,1,Craft-repair,0,HS-grad,0,Married-civ-spouse,Husband,0
Private,40,1,22,1,Transport-moving,0,9th,0,Never-married,Own-child,0
Private,25,1,65,1,Other-service,0,HS-grad,0,Divorced,Not-in-family,0
Federal-gov,40,0,33,0,Exec-managerial,0,Some-college,0,Married-civ-spouse,Wife,1
Self-emp-inc,60,1,55,1,Sales,0,Bachelors,0,Married-civ-spouse,Husband,1
Local-gov,40,1,47,1,Prof-specialty,0,Masters,0,Married-civ-spouse,Husband,0
Private,36,0,38,1,Tech-support,0,Assoc-voc,0,Married-civ-spouse,Wife,1
Private,30,1,17,1,Farming-fishing,0,10th,0,Never-married,Own-child,0
Private,50,1,36,1,Sales,0,Some-college,0,Never-married,Not-in-family,0
Private,50,1,30,1,Prof-specialty,0,Bachelors,7688,Married-civ-spouse,Husband,1
Self-emp-inc,55,1,28,1,Exec-managerial,0,Bachelors,5013,Married-civ-spouse,Husband,0
Private,40,1,58,1,Sales,0,Some-college,0,Married-civ-spouse,Husband,1
Private,40,0,25,1,Sales,0,HS-grad,0,Never-married,Unmarried,0
Private,50,1,34,1,Transport-moving,0,HS-grad,0,Married-civ-spouse,Husband,1
Self-emp-inc,60,1,51,1,Prof-specialty,0,Prof-school,15024,Married-civ-spouse,Husband,1
Private,40,1,21,1,Other-service,0,HS-grad,0,Never-married,Other-relative,0
Private,60,1,35,1,Prof-specialty,0,Masters,0,Never-married,Not-in-family,1
Self-emp-inc,60,1,32,1,Exec-managerial,0,Bachelors,99999,Married-civ-spouse,Husband,1
Private,40,1,47,1,Adm-clerical,0,Some-college,0,Divorced,Not-in-family,0
Private,10,0,17,1,Sales,0,11th,0,Never-married,Own-child,0
Private,40,1,33,1,Prof-specialty,0,Bachelors,0,Never-married,Not-in-family,0
Private,40,1,46,1,Other-service,0,HS-grad,0,Married-civ-spouse,Husband,0
Self-emp-not-inc,40,1,34,1,Farming-fishing,0,10th,0,Married-civ-spouse,Husband,0
Private,30,1,19,1,Handlers-cleaners,0,11th,0,Never-married,Own-child,0
Private,40,0,37,1,Adm-clerical,0,5th-6th,0,Never-married,Other-relative,0
Private,40,1,27,1,Farming-fishing,0,Assoc-voc,0,Married-civ-spouse,Husband,0
Private,45,1,28,1,Craft-repair,0,11th,0,Married-civ-spouse,Husband,0
Self-emp-inc,35,1,17,0,Other-service,0,10th,0,Never-married,Own-child,0
Private,60,1,34,1,Craft-repair,0,Some-college,0,Married-civ-spouse,Husband,1
Private,40,1,57,1,Exec-managerial,0,Masters,0,Married-civ-spouse,Husband,0
Private,45,1,19,1,Craft-repair,0,9th,0,Married-civ-spouse,Husband,0
Private,40,1,25,1,Craft-repair,0,11th,0,Married-civ-spouse,Husband,0
Self-emp-not-inc,24,1,73,1,Craft-repair,0,HS-grad,0,Widowed,Not-in-family,0
Private,30,0,23,1,Other-service,0,Some-college,0,Never-married,Own-child,0
Private,40,1,41,1,Exec-managerial,0,Some-college,0,Married-civ-spouse,Own-child,1
Private,35,1,42,1,Farming-fishing,0,5th-6th,0,Married-spouse-absent,Not-in-family,0
Private,45,1,36,1,Machine-op-inspct,0,HS-grad,0,Married-civ-spouse,Husband,1
Private,40,0,29,1,Adm-clerical,0,HS-grad,0,Married-spouse-absent,Own-child,0
Private,40,0,52,1,Craft-repair,0,9th,0,Divorced,Unmarried,0
Private,40,0,39,1,Prof-specialty,0,Masters,0,Never-married,Not-in-family,1
Private,40,1,31,1,Prof-specialty,0,Bachelors,0,Never-married,Not-in-family,0
Self-emp-inc,55,1,34,1,Exec-managerial,0,Bachelors,7688,Married-civ-spouse,Husband,1
Private,50,1,49,1,Exec-managerial,0,Masters,15024,Married-civ-spouse,Husband,1
Private,45,1,40,0,Handlers-cleaners,0,HS-grad,0,Separated,Unmarried,0
Self-emp-inc,45,1,43,1,Sales,0,Bachelors,0,Married-civ-spouse,Husband,1
Private,50,1,38,1,Craft-repair,0,HS-grad,0,Married-civ-spouse,Husband,0
State-gov,50,0,46,1,Prof-specialty,0,Some-college,1506,Divorced,Unmarried,0
Private,40,0,36,1,Adm-clerical,0,HS-grad,0,Married-civ-spouse,Wife,1
Private,40,0,31,0,Prof-specialty,0,Assoc-acdm,0,Never-married,Other-relative,0
Private,40,0,36,0,Adm-clerical,0,HS-grad,0,Never-married,Not-in-family,0
Private,20,0,38,1,Other-service,0,HS-grad,0,Widowed,Unmarried,0
Local-gov,7,1,41,1,Prof-specialty,0,Some-college,0,Never-married,Other-relative,0
Private,45,1,43,1,Transport-moving,0,Bachelors,0,Married-civ-spouse,Husband,0
Private,50,1,42,1,Sales,1887,Some-college,0,Married-civ-spouse,Husband,1
Private,40,1,41,1,Exec-managerial,0,HS-grad,0,Married-civ-spouse,Husband,0
State-gov,37,1,30,1,Prof-specialty,0,Bachelors,0,Married-civ-spouse,Husband,1
Private,40,1,50,1,Farming-fishing,0,Some-college,0,Never-married,Not-in-family,0
Private,40,1,28,1,Adm-clerical,0,HS-grad,0,Never-married,Not-in-family,0
Local-gov,37,0,32,0,Adm-clerical,0,HS-grad,0,Never-married,Not-in-family,0
Private,50,1,54,1,Machine-op-inspct,0,HS-grad,5178,Married-civ-spouse,Husband,1
Private,55,1,32,1,Machine-op-inspct,0,HS-grad,5013,Married-civ-spouse,Husband,0
Private,25,1,23,0,Sales,0,Some-college,0,Never-married,Other-relative,0
