checking_status,duration,credit_history,purpose,credit_amount,savings,employment,installment_rate,sex,other_debtors,property,age,housing,job,label
A11,18,A32,A42,3650,A61,A72,1,0,A101,A123,0,A151,A173,1
A14,6,A34,A43,1382,A61,A73,1,0,A101,A123,1,A152,A173,1
A11,24,A32,A42,3345,A61,A75,4,1,A101,A122,1,A151,A174,0
A11,24,A33,A43,1659,A61,A72,4,0,A101,A123,1,A151,A172,0
A14,12,A32,A43,1963,A61,A74,4,1,A101,A123,1,A151,A174,1
A11,33,A34,A42,4281,A63,A73,1,0,A101,A123,0,A152,A173,0
A14,24,A32,A40,3757,A61,A75,4,0,A102,A124,1,A153,A173,1
A14,12,A32,A40,1386,A63,A73,2,0,A101,A122,1,A152,A173,0
A11,6,A32,A40,1374,A65,A71,4,0,A101,A122,1,A152,A174,1
A14,9,A34,A40,1224,A61,A73,3,1,A101,A121,1,A152,A173,1
A14,15,A33,A43,1478,A61,A73,4,1,A101,A121,1,A152,A173,1
A11,48,A32,A41,10297,A61,A74,4,1,A101,A124,1,A153,A173,0
A11,48,A30,A42,7119,A61,A73,3,1,A101,A124,1,A153,A173,0
A12,18,A32,A43,3213,A63,A72,1,1,A101,A121,1,A151,A173,1
A11,10,A34,A42,2132,A65,A72,2,0,A102,A121,1,A151,A173,1
A11,36,A34,A46,8065,A61,A73,3,0,A101,A124,1,A152,A174,0
A14,6,A33,A43,932,A61,A73,3,0,A101,A121,0,A152,A173,1
A11,8,A34,A40,731,A61,A75,4,1,A101,A121,1,A152,A172,1
A14,24,A34,A41,4042,A65,A74,3,1,A101,A122,1,A152,A173,1
A12,15,A31,A40,6850,A62,A71,1,1,A101,A122,1,A152,A174,0
A11,24,A32,A41,2910,A61,A74,2,1,A101,A124,1,A153,A174,1
A12,24,A34,A410,11938,A61,A73,2,1,A102,A123,1,A152,A174,0
A14,24,A33,A41,4679,A61,A74,3,1,A101,A123,1,A152,A172,1
A14,24,A32,A42,3972,A61,A74,2,0,A101,A122,1,A151,A173,1
A12,30,A34,A40,5234,A61,A71,4,1,A101,A123,1,A152,A174,0
A12,18,A34,A49,3590,A61,A71,3,1,A101,A123,1,A152,A171,1
A12,8,A32,A42,1237,A61,A73,3,0,A101,A121,0,A152,A173,0
A11,24,A32,A42,4169,A61,A73,4,1,A101,A122,1,A152,A173,1
A14,11,A34,A40,1393,A61,A72,4,0,A101,A123,1,A152,A174,1
A12,48,A30,A40,8358,A63,A72,1,0,A101,A123,1,A152,A173,1
A12,24,A32,A43,1967,A61,A75,4,0,A101,A123,0,A152,A173,1
A14,18,A34,A43,1582,A64,A75,4,1,A101,A123,1,A152,A173,1
A11,33,A34,A42,4281,A63,A73,1,0,A101,A123,0,A152,A173,0
A14,12,A34,A42,5801,A65,A75,2,1,A101,A122,1,A151,A173,1
A13,18,A32,A40,1961,A61,A75,3,0,A101,A123,0,A152,A174,1
A11,18,A30,A49,3104,A61,A74,3,1,A101,A122,1,A152,A173,1
A14,12,A34,A43,1655,A61,A75,2,1,A101,A121,1,A152,A172,1
A11,24,A32,A40,1371,A65,A73,4,0,A101,A121,1,A151,A173,0
A12,30,A33,A49,2503,A62,A75,4,1,A101,A122,1,A152,A173,1
A11,24,A32,A41,2812,A65,A75,2,0,A101,A121,1,A151,A173,1
A14,24,A34,A43,2424,A65,A75,4,1,A101,A122,1,A152,A173,1
A14,21,A32,A41,5248,A65,A73,1,1,A101,A123,1,A152,A173,1
A12,30,A30,A49,4221,A61,A73,2,0,A101,A123,1,A152,A173,1
A12,48,A30,A40,8358,A63,A72,1,0,A101,A123,1,A152,A173,1
A14,12,A34,A46,2096,A61,A74,2,1,A101,A121,1,A152,A172,1
A12,9,A32,A42,918,A61,A73,4,0,A101,A122,1,A152,A173,0
A11,21,A33,A46,3414,A61,A72,2,1,A101,A122,1,A152,A173,0
A14,15,A34,A43,1360,A61,A73,4,1,A101,A122,1,A152,A173,1
A12,9,A32,A40,1549,A65,A72,4,1,A101,A121,1,A152,A171,1
A11,18,A32,A46,750,A61,A71,4,0,A101,A121,1,A152,A171,0
A11,24,A32,A41,2924,A61,A73,3,1,A103,A124,1,A152,A173,1
A12,12,A32,A40,836,A62,A72,4,0,A101,A122,0,A152,A172,0
A14,54,A30,A41,9436,A65,A73,2,1,A101,A122,1,A152,A172,1
A11,6,A32,A42,428,A61,A75,2,0,A101,A122,1,A152,A173,1
A12,48,A31,A49,6416,A61,A75,4,0,A101,A124,1,A151,A173,0
A11,21,A32,A43,1835,A61,A73,3,0,A101,A121,1,A152,A173,0
A14,18,A33,A42,1808,A61,A74,4,0,A101,A121,0,A152,A173,0
A12,6,A33,A49,1449,A62,A75,1,1,A101,A123,1,A152,A173,1
A14,15,A34,A42,3343,A61,A73,4,1,A101,A124,1,A153,A173,1
A14,24,A34,A41,6842,A65,A73,2,1,A101,A122,1,A152,A174,1
A13,12,A31,A49,609,A61,A72,4,0,A101,A121,1,A152,A171,0
A14,6,A32,A48,1238,A65,A71,4,1,A101,A122,1,A152,A174,1
A12,36,A33,A49,9857,A62,A74,1,1,A101,A122,1,A152,A172,1
A14,21,A30,A40,5003,A65,A73,1,0,A101,A122,1,A152,A173,0
A11,18,A32,A42,2473,A61,A71,4,1,A101,A123,1,A152,A171,0
A14,18,A32,A42,2515,A61,A73,3,1,A101,A121,1,A152,A173,1
A12,24,A34,A43,1216,A62,A72,4,1,A101,A124,1,A152,A173,0
A14,15,A32,A43,1213,A63,A75,4,1,A101,A122,1,A152,A173,1
A13,15,A34,A43,1271,A65,A73,3,1,A101,A124,1,A153,A173,0
A11,10,A34,A40,2241,A61,A72,1,1,A101,A121,1,A151,A172,1
A12,18,A33,A42,4297,A61,A75,4,1,A101,A124,1,A152,A174,0
A14,12,A32,A40,2390,A65,A75,4,1,A101,A123,1,A152,A173,1
A14,15,A34,A42,2788,A61,A74,2,0,A102,A123,0,A152,A173,1
A12,48,A31,A49,6416,A61,A75,4,0,A101,A124,1,A151,A173,0
A14,60,A32,A40,6527,A65,A73,4,1,A101,A124,1,A153,A173,1
A14,12,A32,A43,2141,A62,A74,3,1,A101,A124,1,A152,A173,1
A11,48,A30,A41,4605,A61,A75,3,1,A101,A124,0,A153,A173,0
A14,15,A32,A41,1300,A65,A75,4,1,A101,A124,1,A153,A173,1
A14,12,A34,A46,2012,A65,A74,4,0,A101,A123,1,A152,A173,1
A14,12,A32,A40,1386,A63,A73,2,0,A101,A122,1,A152,A173,0
A11,21,A32,A43,3357,A64,A72,4,0,A101,A123,1,A152,A173,1
A14,15,A34,A42,2788,A61,A74,2,0,A102,A123,0,A152,A173,1
A11,30,A32,A45,11998,A61,A72,1,1,A101,A124,1,A152,A172,0
A14,24,A32,A40,1474,A62,A72,4,1,A101,A121,1,A152,A173,1
A12,9,A34,A43,1154,A61,A75,2,1,A101,A121,1,A152,A172,1
A11,6,A31,A46,1198,A61,A75,4,0,A101,A124,1,A153,A173,0
A12,30,A30,A49,4221,A61,A73,2,0,A101,A123,1,A152,A173,1
A12,6,A32,A43,484,A61,A74,3,1,A103,A121,1,A152,A172,1
A11,24,A31,A42,2828,A63,A73,4,1,A101,A121,0,A152,A173,1
A11,48,A32,A43,6758,A61,A73,3,0,A101,A123,1,A152,A173,0
A14,12,A30,A42,2759,A61,A75,2,1,A101,A122,1,A152,A173,1
A13,21,A34,A46,2319,A61,A72,2,1,A101,A123,1,A151,A173,0
A12,24,A34,A40,3878,A62,A72,4,1,A101,A123,1,A152,A173,1
A11,30,A30,A42,4583,A61,A73,2,1,A103,A121,1,A152,A173,1
A14,24,A32,A42,3972,A61,A74,2,0,A101,A122,1,A151,A173,1
A11,12,A32,A46,795,A61,A72,4,0,A101,A122,1,A152,A173,0
A12,18,A32,A46,1239,A65,A73,4,1,A101,A124,1,A153,A173,1
A12,13,A32,A43,2101,A61,A72,2,0,A103,A122,0,A152,A172,1
A11,12,A32,A40,1893,A61,A73,4,0,A103,A122,1,A152,A173,1
A14,12,A34,A40,682,A62,A74,4,0,A101,A123,1,A152,A173,1
A12,30,A30,A49,4221,A61,A73,2,0,A101,A123,1,A152,A173,1
A14,18,A34,A40,1028,A61,A73,4,0,A101,A121,1,A152,A173,1
A14,18,A34,A40,1055,A61,A72,4,0,A101,A122,1,A152,A173,1
A11,12,A30,A45,1108,A61,A74,4,1,A101,A121,1,A152,A173,0
A12,24,A33,A40,1965,A65,A73,4,0,A101,A123,1,A151,A173,1
A11,24,A32,A42,7721,A65,A72,1,0,A101,A122,1,A152,A173,1
A14,15,A32,A42,2186,A65,A74,1,0,A101,A121,1,A151,A172,1
A14,15,A32,A44,874,A65,A72,4,0,A101,A121,0,A152,A173,1
A11,12,A32,A42,1282,A61,A73,2,0,A101,A123,0,A151,A173,0
A11,21,A32,A43,1835,A61,A73,3,0,A101,A121,1,A152,A173,0
A14,21,A30,A40,5003,A65,A73,1,0,A101,A122,1,A152,A173,0
A12,15,A32,A43,1444,A65,A72,4,1,A101,A122,0,A152,A173,1
A14,18,A32,A40,2662,A65,A74,4,1,A101,A122,1,A152,A173,1
A13,18,A32,A42,3049,A61,A72,1,0,A101,A122,1,A152,A172,1
A11,18,A32,A42,2039,A61,A73,1,0,A101,A121,0,A151,A173,0
A11,12,A32,A40,1893,A61,A73,4,0,A103,A122,1,A152,A173,1
A11,12,A32,A42,1282,A61,A73,2,0,A101,A123,0,A151,A173,0
A12,15,A31,A40,1264,A62,A73,2,1,A101,A122,1,A151,A173,0
A14,24,A32,A40,1249,A61,A72,4,1,A101,A121,1,A152,A173,1
A12,9,A32,A42,918,A61,A73,4,0,A101,A122,1,A152,A173,0
A14,21,A30,A40,5003,A65,A73,1,0,A101,A122,1,A152,A173,0
A11,10,A34,A42,2132,A65,A72,2,0,A102,A121,1,A151,A173,1
A12,36,A32,A43,2671,A62,A73,4,0,A102,A124,1,A153,A173,0
A12,24,A32,A43,1967,A61,A75,4,0,A101,A123,0,A152,A173,1
A12,10,A32,A42,1521,A61,A73,4,1,A101,A123,1,A152,A172,1
A12,20,A30,A41,6148,A62,A75,3,1,A101,A123,1,A152,A173,1
A12,9,A32,A42,959,A61,A73,1,0,A101,A123,1,A152,A173,0
A11,6,A34,A40,1361,A61,A72,2,1,A101,A121,1,A152,A172,1
A12,24,A33,A49,4712,A65,A73,4,1,A101,A122,1,A152,A174,1
A14,36,A34,A41,10477,A65,A75,2,1,A101,A124,1,A153,A173,1
A11,12,A32,A42,3590,A61,A73,2,1,A102,A122,1,A152,A172,1
A14,4,A34,A43,1544,A61,A74,2,1,A101,A121,1,A152,A172,1
A14,18,A32,A43,1453,A61,A72,3,0,A101,A121,1,A152,A173,1
A11,24,A33,A40,1333,A61,A71,4,1,A101,A121,1,A153,A173,0
A14,24,A31,A49,1559,A61,A74,4,1,A101,A123,1,A152,A173,1
A12,48,A30,A410,18424,A61,A73,1,0,A101,A122,1,A152,A174,0
A11,18,A32,A42,3650,A61,A72,1,0,A101,A123,0,A151,A173,1
A14,12,A34,A46,2012,A65,A74,4,0,A101,A123,1,A152,A173,1
A12,42,A31,A41,9283,A61,A71,1,1,A101,A124,1,A153,A174,1
A12,24,A32,A43,1967,A61,A75,4,0,A101,A123,0,A152,A173,1
A11,10,A34,A40,1038,A61,A74,4,1,A102,A122,1,A152,A173,1
A11,12,A32,A40,900,A65,A73,4,1,A101,A123,0,A152,A173,0
A12,36,A32,A43,2671,A62,A73,4,0,A102,A124,1,A153,A173,0
A14,24,A34,A43,1851,A61,A74,4,1,A103,A123,1,A152,A173,1
A11,24,A32,A41,2812,A65,A75,2,0,A101,A121,1,A151,A173,1
A11,33,A34,A42,4281,A63,A73,1,0,A101,A123,0,A152,A173,0
A12,9,A34,A42,1919,A61,A74,4,1,A101,A123,1,A151,A173,1
A11,48,A32,A43,6758,A61,A73,3,0,A101,A123,1,A152,A173,0
A11,6,A34,A40,4716,A65,A72,1,1,A101,A121,1,A152,A172,1
A12,30,A32,A42,3441,A62,A73,2,0,A102,A123,0,A151,A173,0
A14,12,A33,A45,1555,A64,A75,4,1,A101,A124,1,A153,A173,0
A12,36,A32,A46,2273,A61,A74,3,1,A101,A123,1,A152,A173,1
A11,12,A32,A43,727,A62,A72,4,1,A101,A124,1,A152,A172,0
A12,30,A30,A49,4221,A61,A73,2,0,A101,A123,1,A152,A173,1
A12,24,A32,A43,2039,A61,A72,1,1,A101,A122,0,A152,A173,0
A11,12,A32,A41,3386,A61,A75,3,1,A101,A124,1,A153,A173,0
A11,18,A32,A43,3190,A61,A73,2,0,A101,A121,0,A152,A173,0
A14,24,A33,A40,2032,A61,A75,4,1,A101,A124,1,A153,A173,1
A14,24,A32,A43,1413,A61,A73,4,1,A101,A122,1,A152,A173,1
A13,36,A32,A43,4210,A61,A73,4,1,A101,A123,1,A152,A173,0
A12,6,A33,A40,1209,A61,A71,4,1,A101,A122,1,A152,A174,0
A14,9,A32,A43,2753,A62,A75,3,1,A102,A123,1,A152,A173,1
A14,24,A34,A42,3777,A64,A73,4,1,A101,A121,1,A152,A173,1
A14,12,A34,A49,2292,A61,A71,4,1,A101,A123,1,A152,A174,0
A12,12,A34,A40,1995,A62,A72,4,1,A101,A123,1,A152,A173,1
A14,48,A34,A40,10127,A63,A73,2,1,A101,A124,1,A153,A173,0
A11,21,A32,A40,3763,A65,A74,2,1,A102,A121,0,A152,A172,1
A11,6,A34,A43,1957,A61,A74,1,0,A101,A123,1,A152,A173,1
A14,6,A34,A40,250,A64,A73,2,0,A101,A121,1,A152,A172,1
A14,10,A32,A48,894,A65,A74,4,0,A101,A122,1,A152,A173,1
A14,10,A32,A46,727,A63,A75,4,1,A101,A124,1,A153,A173,1
A13,42,A30,A49,6289,A61,A72,2,1,A101,A122,1,A152,A173,1
A14,18,A32,A43,433,A61,A71,3,0,A102,A121,0,A151,A173,0
A11,21,A32,A43,3357,A64,A72,4,0,A101,A123,1,A152,A173,1
A12,18,A32,A49,2622,A62,A73,4,1,A101,A123,1,A152,A173,1
A12,72,A32,A43,5595,A62,A73,2,1,A101,A123,0,A152,A173,0
A14,21,A32,A42,2241,A61,A75,4,1,A101,A121,1,A152,A173,1
A12,24,A32,A43,2896,A62,A72,2,1,A101,A123,1,A152,A173,1
A14,30,A33,A49,4272,A62,A73,2,1,A101,A122,1,A152,A172,1
A13,10,A34,A43,1347,A65,A74,4,1,A101,A122,1,A152,A173,1
A12,18,A32,A41,2779,A61,A73,1,1,A101,A123,0,A151,A173,1
A14,24,A32,A40,3757,A61,A75,4,0,A102,A124,1,A153,A173,1
A12,24,A32,A42,4351,A65,A73,1,0,A101,A122,1,A152,A172,1
A14,10,A32,A40,1309,A65,A73,4,1,A103,A122,1,A152,A172,0
A11,24,A34,A49,1382,A62,A74,4,1,A101,A121,1,A152,A173,1
A12,24,A33,A40,1965,A65,A73,4,0,A101,A123,1,A151,A173,1
A11,6,A32,A40,1374,A65,A71,4,0,A101,A122,1,A152,A174,1
A14,15,A32,A43,1386,A65,A73,4,1,A101,A121,1,A151,A173,1
A14,30,A34,A43,4530,A61,A74,4,0,A101,A123,1,A151,A174,1
A12,12,A32,A43,1155,A61,A75,3,1,A103,A121,1,A152,A172,1
A12,48,A31,A40,12169,A65,A71,4,1,A102,A124,1,A153,A174,1
A11,12,A32,A40,1228,A61,A73,4,0,A101,A121,0,A152,A172,0
A13,24,A34,A49,1275,A64,A73,2,1,A101,A121,1,A152,A173,1
A11,6,A32,A42,428,A61,A75,2,0,A101,A122,1,A152,A173,1
A11,24,A33,A43,1024,A61,A72,4,1,A101,A121,1,A152,A173,0
A12,11,A32,A42,1577,A64,A72,4,0,A101,A121,0,A152,A173,1
A14,12,A34,A46,2012,A65,A74,4,0,A101,A123,1,A152,A173,1
A13,24,A32,A43,1377,A62,A75,4,0,A101,A124,1,A153,A173,1
A12,36,A34,A40,2820,A61,A72,4,1,A101,A123,1,A152,A173,0
A12,14,A32,A49,1410,A63,A75,1,1,A101,A121,1,A152,A173,1
A14,11,A34,A40,1393,A61,A72,4,0,A101,A123,1,A152,A174,1
A13,18,A32,A43,2100,A61,A73,4,1,A102,A121,1,A152,A173,0
A12,26,A32,A41,7966,A61,A72,2,1,A101,A123,1,A152,A173,1
A12,16,A34,A40,1175,A61,A71,2,1,A101,A123,1,A153,A171,1
A12,48,A33,A410,7582,A62,A71,2,1,A101,A124,1,A153,A174,1
A11,18,A32,A42,3650,A61,A72,1,0,A101,A123,0,A151,A173,1
A14,48,A33,A43,12749,A63,A74,4,1,A101,A123,1,A152,A174,1
A14,6,A32,A43,518,A61,A73,3,0,A101,A121,1,A152,A173,1
A11,18,A32,A42,3650,A61,A72,1,0,A101,A123,0,A151,A173,1
A12,60,A33,A43,7418,A65,A73,1,1,A101,A121,1,A152,A172,1
A12,12,A32,A40,1318,A64,A75,4,1,A101,A121,1,A152,A173,1
A11,18,A34,A42,2124,A61,A73,4,0,A101,A121,0,A151,A173,0
A11,12,A32,A46,1200,A65,A73,4,0,A101,A122,0,A151,A173,1
A12,24,A33,A43,1553,A62,A74,3,0,A101,A122,0,A151,A173,1
A11,24,A31,A40,2325,A62,A74,2,1,A101,A123,1,A152,A173,1
A14,24,A34,A49,4139,A62,A73,3,1,A101,A122,1,A152,A172,1
A11,15,A32,A43,1053,A61,A72,4,1,A101,A121,1,A152,A173,1
A12,6,A32,A43,2063,A61,A72,4,1,A101,A123,1,A151,A174,1
A14,18,A34,A42,1817,A61,A73,4,0,A101,A124,1,A152,A173,1
A12,24,A33,A40,1965,A65,A73,4,0,A101,A123,1,A151,A173,1
A13,15,A32,A49,2687,A61,A74,2,1,A101,A122,1,A151,A173,1
A14,22,A32,A40,1283,A65,A74,4,0,A101,A122,1,A151,A173,1
A14,9,A32,A42,2301,A62,A72,2,0,A101,A122,0,A151,A173,1
A11,12,A32,A42,1282,A61,A73,2,0,A101,A123,0,A151,A173,0
A11,18,A32,A40,1216,A61,A72,4,0,A101,A123,0,A151,A173,0
A12,12,A33,A43,585,A61,A73,4,1,A102,A121,0,A151,A173,1
A14,15,A32,A40,3186,A64,A74,2,0,A101,A123,0,A151,A173,1
A14,42,A34,A42,4042,A63,A73,4,1,A101,A121,1,A152,A173,1
A11,28,A32,A40,4006,A61,A73,3,1,A101,A123,1,A152,A172,0
A11,48,A32,A43,6999,A61,A74,1,1,A103,A121,1,A152,A173,0
A12,18,A32,A42,3001,A61,A74,2,0,A101,A121,1,A151,A173,1
A12,18,A34,A42,3612,A61,A75,3,0,A101,A122,1,A152,A173,1
A14,24,A32,A43,3235,A63,A75,3,1,A101,A123,1,A152,A174,1
A12,60,A32,A40,7408,A62,A72,4,0,A101,A122,0,A152,A174,0
A14,11,A34,A43,1154,A62,A71,4,0,A101,A121,1,A152,A172,1
A12,12,A32,A43,1158,A63,A73,3,1,A101,A123,1,A152,A173,1
A11,12,A32,A44,741,A62,A71,4,0,A101,A122,0,A152,A173,0
A14,24,A34,A40,2463,A62,A74,4,1,A101,A122,1,A152,A173,1
A12,60,A32,A40,7408,A62,A72,4,0,A101,A122,0,A152,A174,0
A12,9,A32,A43,1082,A61,A75,4,1,A101,A123,1,A152,A172,1
A11,42,A33,A43,4370,A61,A74,3,1,A101,A122,1,A152,A173,0
A14,60,A32,A40,10366,A61,A75,2,1,A101,A122,1,A152,A174,1
A13,10,A34,A40,781,A61,A75,4,1,A101,A124,1,A153,A173,1
A14,12,A34,A43,976,A65,A75,4,1,A101,A123,1,A152,A173,1
A11,12,A32,A42,1858,A61,A72,4,0,A101,A123,0,A151,A173,1
A14,24,A32,A42,3972,A61,A74,2,0,A101,A122,1,A151,A173,1
A14,24,A32,A41,6313,A65,A75,3,1,A101,A123,1,A152,A174,1
A14,24,A32,A42,3972,A61,A74,2,0,A101,A122,1,A151,A173,1
A12,36,A32,A43,2671,A62,A73,4,0,A102,A124,1,A153,A173,0
A11,12,A32,A42,2578,A61,A71,3,0,A101,A124,1,A153,A174,1
A11,36,A34,A42,5371,A61,A73,3,1,A103,A122,1,A152,A173,1
A14,18,A32,A43,433,A61,A71,3,0,A102,A121,0,A151,A173,0
A11,14,A32,A40,3973,A61,A71,1,1,A101,A124,0,A153,A173,1
A14,18,A34,A40,2775,A61,A74,2,1,A101,A122,1,A152,A173,0
A12,60,A32,A40,7408,A62,A72,4,0,A101,A122,0,A152,A174,0
A11,12,A32,A43,1107,A61,A73,2,1,A101,A121,0,A151,A174,1
A11,24,A34,A40,1199,A61,A75,4,1,A101,A123,1,A152,A172,0
A13,12,A31,A49,609,A61,A72,4,0,A101,A121,1,A152,A171,0
A11,48,A32,A41,4788,A61,A74,4,1,A101,A122,1,A152,A173,1
A12,9,A32,A40,276,A61,A73,4,1,A101,A121,0,A151,A172,1
A11,30,A30,A49,8072,A65,A72,2,1,A101,A123,1,A152,A173,1
A13,12,A32,A42,1424,A65,A75,3,0,A101,A121,1,A152,A174,1
A14,10,A32,A40,1418,A62,A73,3,1,A101,A121,1,A151,A172,1
A12,48,A30,A40,8358,A63,A72,1,0,A101,A123,1,A152,A173,1
A12,18,A34,A42,3612,A61,A75,3,0,A101,A122,1,A152,A173,1
A11,24,A32,A40,4817,A61,A74,2,1,A102,A122,1,A152,A173,0
A11,36,A32,A40,3249,A61,A74,2,1,A101,A124,1,A153,A174,1
A11,18,A32,A46,750,A61,A71,4,0,A101,A121,1,A152,A171,0
A14,48,A32,A49,4844,A61,A71,3,1,A101,A123,1,A151,A174,0
A14,12,A34,A40,1163,A63,A73,4,1,A101,A121,1,A152,A173,1
A14,18,A32,A43,1473,A61,A72,3,1,A101,A121,1,A152,A173,1
A14,18,A32,A43,1453,A61,A72,3,0,A101,A121,1,A152,A173,1
A12,18,A34,A49,1887,A65,A73,4,1,A101,A121,1,A152,A173,1
A14,36,A33,A49,7980,A65,A72,4,1,A101,A123,1,A151,A173,0
A11,48,A32,A43,6758,A61,A73,3,0,A101,A123,1,A152,A173,0
A12,36,A33,A49,4455,A61,A73,2,1,A101,A121,1,A152,A174,0
A11,6,A34,A42,1872,A61,A71,4,1,A101,A124,1,A153,A174,1
A12,9,A32,A42,2030,A65,A74,2,1,A101,A123,0,A152,A173,1
A13,10,A32,A40,1240,A62,A75,1,0,A101,A124,1,A153,A172,0
A11,24,A32,A42,1747,A61,A72,4,1,A102,A122,0,A152,A172,1
A12,30,A32,A42,3832,A61,A72,2,1,A101,A122,0,A152,A173,1
A12,18,A33,A40,2899,A65,A75,4,1,A101,A123,1,A152,A173,1
A13,12,A31,A49,609,A61,A72,4,0,A101,A121,1,A152,A171,0
A12,39,A34,A43,4933,A61,A74,2,1,A103,A121,1,A152,A173,0
A12,36,A34,A41,5800,A61,A73,3,1,A101,A123,1,A152,A173,1
A11,12,A32,A44,741,A62,A71,4,0,A101,A122,0,A152,A173,0
A14,12,A32,A40,1386,A63,A73,2,0,A101,A122,1,A152,A173,0
A12,60,A33,A43,9157,A65,A73,2,1,A101,A124,1,A153,A174,1
A14,12,A34,A49,1185,A61,A73,3,0,A101,A121,1,A152,A173,1
A12,18,A34,A42,3612,A61,A75,3,0,A101,A122,1,A152,A173,1
A12,42,A34,A49,5954,A61,A74,2,0,A101,A121,1,A152,A172,1
A12,36,A30,A49,1953,A61,A75,4,1,A101,A124,1,A153,A174,0
A11,10,A32,A43,2315,A61,A75,3,1,A101,A121,1,A152,A172,1
A12,48,A32,A43,3060,A61,A74,4,1,A101,A121,1,A152,A173,0
A11,18,A32,A46,750,A61,A71,4,0,A101,A121,1,A152,A171,0
A11,12,A32,A40,1893,A61,A73,4,0,A103,A122,1,A152,A173,1
A12,30,A30,A49,4280,A62,A73,4,0,A101,A123,1,A151,A172,0
A14,12,A32,A42,763,A61,A73,4,0,A101,A121,1,A152,A173,1
